Fecha,Departamento,Municipio,DELITO,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2019 00:00,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,Martes,00:00:00,SAN PEDRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,32,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,5.042.000,1
01/01/2019 00:00,ANTIOQUIA,URRAO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,00:00:00,EL SALVADOR,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5.847.000,1
01/01/2019 00:00,ANTIOQUIA,YARUMAL,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,08:00:00,CALLE CALIENTE,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5.887.000,1
01/01/2019 00:00,ANTIOQUIA,ZARAGOZA,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,00:00:00,SAN GREGORIO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,40,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5.895.000,1
01/01/2019 00:00,ARAUCA,ARAUCA (CT),ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,00:00:00,VEREDA LA COMUNIDAD,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,81.001.000,1
01/01/2019 00:00,ARAUCA,ARAUCA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,VEREDA LA COMUNIDAD,URBANA,OTRO,NO REPORTADO,A PIE,A PIE,4,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,81.001.000,1
01/01/2019 00:00,ARAUCA,ARAUCA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,06:00:00,SANTA TERESITA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,81.001.000,1
01/01/2019 00:00,ARAUCA,ARAUQUITA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,VEREDA LA ISLANDIA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,81.065.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,17:00:00,LA PLAYA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,03:00:00,SAN LUIS,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 206. ACTO SEXUAL VIOLENTO,Martes,00:30:00,LA MAGDALENA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,10:00:00,SILENCIO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 210 A. ACOSO SEXUAL,Martes,07:00:00,CIUDADELA 20 DE JULIO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,BARRANQUILLA (CT),ARTÍCULO 218. PORNOGRAFÍA CON MENORES,Martes,14:00:00,LOS OLIVOS I,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,8.001.000,1
01/01/2019 00:00,ATLÁNTICO,MALAMBO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,20:00:00,VEREDA EL CARMEN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,8.433.000,1
01/01/2019 00:00,ATLÁNTICO,MALAMBO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,20:00:00,VEREDA EL CARMEN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,8.433.000,1
01/01/2019 00:00,ATLÁNTICO,SOLEDAD,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,Martes,03:00:00,EL MANANTIAL,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,8.758.000,1
01/01/2019 00:00,ATLÁNTICO,SOLEDAD,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,18:30:00,SOLEDAD 2000,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,8,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,8.758.000,1
01/01/2019 00:00,ATLÁNTICO,SOLEDAD,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,14:36:00,LOS LAURELES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,8.758.000,1
01/01/2019 00:00,ATLÁNTICO,SOLEDAD,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,14:36:00,LOS LAURELES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,8.758.000,1
01/01/2019 00:00,BOLÍVAR,ARJONA,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,01:00:00,BARRIO LA PAZ,URBANA,CANCHA DE FUTBOL,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,13.052.000,1
01/01/2019 00:00,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,07:00:00,URB. VILLAS DE ARANJUEZ,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.001.000,1
01/01/2019 00:00,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,18:00:00,LA MARIA,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.001.000,1
01/01/2019 00:00,BOLÍVAR,MAGANGUÉ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,CORREG. DE COYONGAL,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.430.000,1
01/01/2019 00:00,BOLÍVAR,MAGANGUÉ,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,09:00:00,CORREG. DE COYONGAL,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,4,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.430.000,1
01/01/2019 00:00,BOLÍVAR,SAN JACINTO,ARTÍCULO 210 A. ACOSO SEXUAL,Martes,00:00:00,SECTOR SUCRE,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,48,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,13.654.000,1
01/01/2019 00:00,BOLÍVAR,SAN JUAN NEPOMUCENO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,00:00:00,BARRIO ABAJO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.657.000,1
01/01/2019 00:00,BOLÍVAR,SAN PABLO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,17:40:00,LA FERIA,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,13.670.000,1
01/01/2019 00:00,BOLÍVAR,SANTA ROSA,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,00:00:00,EL SAGRADO,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,13.683.000,1
01/01/2019 00:00,BOLÍVAR,SANTA ROSA DEL SUR,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,10:00:00,URB. LAS VILLAS,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,13.688.000,1
